Operation,Data,"Document 1"
Statistics,"Sentence count",183
Statistics,"Token count",8077
Statistics,"Type count",1949
Statistics,"Syllable count",14410
Statistics,"Type/token ratio",0.24
Statistics,"Words with more than 2 syllables",1419
Statistics,"Words with more than 2 syllables - Percentage",17.57
Statistics,"Average syllables per sentence",78.74
Statistics,"Average syllables per word",1.78
Statistics,"Syllables per 100 words",178.41
Statistics,"Flesch Reading Ease",11.10
Statistics,"Flesch-Kincaid Grade",22.68
Statistics,"Gunning Fog Index",24.68
Statistics,"Average Sentence Length",44.14
"Lexical Diversity","Lexical diversity (VOCD)",151.24
"Lexical Diversity","Lexical diversity (MTLD)",134.62
Tagger,"Coverage %",100.00
Tagger,"Coverage count",8077
Tagger,"Coverage not counted",0
Tagger,"Token count",8077
Tagger,"Type count",1949
Tagger,Elements,2262
Tagger,"Type/token ratio",0.24
Tagger,"Tokens per type",4.14
Tagger,"Total Verbal Elements",599
Tagger,"Verbal Elements per Sentence",3.27
Tagger,"Total Noun Elements",1171
Tagger,"Noun Elements per Sentence",6.40
Tagger,"Token count ($)",0
Tagger,"Token count (,)",0
Tagger,"Token count (:)",0
Tagger,"Token count (???)",0
Tagger,"Token count (CD)",115
Tagger,"Token count (CO)",283
Tagger,"Token count (DAT)",764
Tagger,"Token count (DT)",122
Tagger,"Token count (DTW)",28
Tagger,"Token count (EX)",0
Tagger,"Token count (FW)",0
Tagger,"Token count (GE)",0
Tagger,"Token count (IN)",842
Tagger,"Token count (JJ)",600
Tagger,"Token count (JJR)",65
Tagger,"Token count (JJS)",38
Tagger,"Token count (LS)",0
Tagger,"Token count (MD)",71
Tagger,"Token count (NN)",1445
Tagger,"Token count (NNS)",609
Tagger,"Token count (NP)",921
Tagger,"Token count (NPS)",80
Tagger,"Token count (PDT)",0
Tagger,"Token count (PN)",4
Tagger,"Token count (PP)",128
Tagger,"Token count (PP$)",56
Tagger,"Token count (PWH)",69
Tagger,"Token count (PWS)",85
Tagger,"Token count (QQ)",19
Tagger,"Token count (RB)",261
Tagger,"Token count (RBR)",26
Tagger,"Token count (RBS)",8
Tagger,"Token count (STOP)",0
Tagger,"Token count (SYM)",0
Tagger,"Token count (THAT)",34
Tagger,"Token count (TO)",155
Tagger,"Token count (UH)",0
Tagger,"Token count (VB)",12
Tagger,"Token count (VBD)",34
Tagger,"Token count (VBG)",1
Tagger,"Token count (VBN)",7
Tagger,"Token count (VBP)",25
Tagger,"Token count (VBZ)",106
Tagger,"Token count (VD)",4
Tagger,"Token count (VDD)",18
Tagger,"Token count (VDG)",3
Tagger,"Token count (VDN)",1
Tagger,"Token count (VDP)",12
Tagger,"Token count (VDZ)",31
Tagger,"Token count (VH)",2
Tagger,"Token count (VHD)",8
Tagger,"Token count (VHG)",0
Tagger,"Token count (VHN)",0
Tagger,"Token count (VHP)",11
Tagger,"Token count (VHZ)",23
Tagger,"Token count (VV)",214
Tagger,"Token count (VVD)",157
Tagger,"Token count (VVG)",155
Tagger,"Token count (VVN)",157
Tagger,"Token count (VVP)",104
Tagger,"Token count (VVZ)",143
Tagger,"Token count (WRB)",0
Tagger,"Token count (XX)",21
Tagger,"Type count ($)",0
Tagger,"Type count (,)",0
Tagger,"Type count (:)",0
Tagger,"Type count (???)",0
Tagger,"Type count (CD)",11
Tagger,"Type count (CO)",9
Tagger,"Type count (DAT)",3
Tagger,"Type count (DT)",14
Tagger,"Type count (DTW)",3
Tagger,"Type count (EX)",0
Tagger,"Type count (FW)",0
Tagger,"Type count (GE)",0
Tagger,"Type count (IN)",45
Tagger,"Type count (JJ)",236
Tagger,"Type count (JJR)",24
Tagger,"Type count (JJS)",14
Tagger,"Type count (LS)",0
Tagger,"Type count (MD)",9
Tagger,"Type count (NN)",523
Tagger,"Type count (NNS)",235
Tagger,"Type count (NP)",386
Tagger,"Type count (NPS)",27
Tagger,"Type count (PDT)",0
Tagger,"Type count (PN)",4
Tagger,"Type count (PP)",8
Tagger,"Type count (PP$)",3
Tagger,"Type count (PWH)",2
Tagger,"Type count (PWS)",5
Tagger,"Type count (QQ)",5
Tagger,"Type count (RB)",92
Tagger,"Type count (RBR)",8
Tagger,"Type count (RBS)",3
Tagger,"Type count (STOP)",0
Tagger,"Type count (SYM)",0
Tagger,"Type count (THAT)",1
Tagger,"Type count (TO)",1
Tagger,"Type count (UH)",0
Tagger,"Type count (VB)",1
Tagger,"Type count (VBD)",2
Tagger,"Type count (VBG)",1
Tagger,"Type count (VBN)",1
Tagger,"Type count (VBP)",1
Tagger,"Type count (VBZ)",1
Tagger,"Type count (VD)",1
Tagger,"Type count (VDD)",1
Tagger,"Type count (VDG)",1
Tagger,"Type count (VDN)",1
Tagger,"Type count (VDP)",1
Tagger,"Type count (VDZ)",1
Tagger,"Type count (VH)",1
Tagger,"Type count (VHD)",1
Tagger,"Type count (VHG)",0
Tagger,"Type count (VHN)",0
Tagger,"Type count (VHP)",1
Tagger,"Type count (VHZ)",1
Tagger,"Type count (VV)",115
Tagger,"Type count (VVD)",101
Tagger,"Type count (VVG)",102
Tagger,"Type count (VVN)",102
Tagger,"Type count (VVP)",59
Tagger,"Type count (VVZ)",94
Tagger,"Type count (WRB)",0
Tagger,"Type count (XX)",1
Errors,"Spelling errors total",107
