Operation,Data,"Document 1"
Statistics,"Sentence count",184
Statistics,"Token count",7960
Statistics,"Type count",1969
Statistics,"Syllable count",13950
Statistics,"Type/token ratio",0.25
Statistics,"Words with more than 2 syllables",1283
Statistics,"Words with more than 2 syllables - Percentage",16.12
Statistics,"Average syllables per sentence",75.82
Statistics,"Average syllables per word",1.75
Statistics,"Syllables per 100 words",175.25
Statistics,"Flesch Reading Ease",14.66
Statistics,"Flesch-Kincaid Grade",21.96
Statistics,"Gunning Fog Index",23.75
Statistics,"Average Sentence Length",43.26
"Lexical Diversity","Lexical diversity (VOCD)",158.80
"Lexical Diversity","Lexical diversity (MTLD)",137.58
Tagger,"Coverage %",100.00
Tagger,"Coverage count",7960
Tagger,"Coverage not counted",0
Tagger,"Token count",7960
Tagger,"Type count",1969
Tagger,Elements,2299
Tagger,"Type/token ratio",0.25
Tagger,"Tokens per type",4.04
Tagger,"Total Verbal Elements",582
Tagger,"Verbal Elements per Sentence",3.16
Tagger,"Total Noun Elements",1204
Tagger,"Noun Elements per Sentence",6.54
Tagger,"Token count ($)",0
Tagger,"Token count (,)",0
Tagger,"Token count (:)",0
Tagger,"Token count (???)",0
Tagger,"Token count (CD)",98
Tagger,"Token count (CO)",314
Tagger,"Token count (DAT)",698
Tagger,"Token count (DT)",132
Tagger,"Token count (DTW)",23
Tagger,"Token count (EX)",2
Tagger,"Token count (FW)",0
Tagger,"Token count (GE)",0
Tagger,"Token count (IN)",812
Tagger,"Token count (JJ)",598
Tagger,"Token count (JJR)",62
Tagger,"Token count (JJS)",38
Tagger,"Token count (LS)",0
Tagger,"Token count (MD)",60
Tagger,"Token count (NN)",1558
Tagger,"Token count (NNS)",631
Tagger,"Token count (NP)",816
Tagger,"Token count (NPS)",43
Tagger,"Token count (PDT)",0
Tagger,"Token count (PN)",8
Tagger,"Token count (PP)",113
Tagger,"Token count (PP$)",69
Tagger,"Token count (PWH)",64
Tagger,"Token count (PWS)",95
Tagger,"Token count (QQ)",16
Tagger,"Token count (RB)",318
Tagger,"Token count (RBR)",25
Tagger,"Token count (RBS)",7
Tagger,"Token count (STOP)",0
Tagger,"Token count (SYM)",0
Tagger,"Token count (THAT)",29
Tagger,"Token count (TO)",116
Tagger,"Token count (UH)",0
Tagger,"Token count (VB)",10
Tagger,"Token count (VBD)",19
Tagger,"Token count (VBG)",3
Tagger,"Token count (VBN)",6
Tagger,"Token count (VBP)",29
Tagger,"Token count (VBZ)",150
Tagger,"Token count (VD)",1
Tagger,"Token count (VDD)",18
