Operation,Data,"Document 1"
Statistics,"Sentence count",449
Statistics,"Token count",9356
Statistics,"Type count",2116
Statistics,"Syllable count",14794
Statistics,"Type/token ratio",0.23
Statistics,"Words with more than 2 syllables",1341
Statistics,"Words with more than 2 syllables - Percentage",14.33
Statistics,"Average syllables per sentence",32.95
Statistics,"Average syllables per word",1.58
Statistics,"Syllables per 100 words",158.12
Statistics,"Flesch Reading Ease",51.91
Statistics,"Flesch-Kincaid Grade",11.20
Statistics,"Gunning Fog Index",14.07
Statistics,"Average Sentence Length",20.84
"Lexical Diversity","Lexical diversity (VOCD)",133.17
"Lexical Diversity","Lexical diversity (MTLD)",133.19
Tagger,"Coverage %",100.00
Tagger,"Coverage count",9356
Tagger,"Coverage not counted",0
Tagger,"Token count",9356
Tagger,"Type count",2116
Tagger,Elements,2407
Tagger,"Type/token ratio",0.23
Tagger,"Tokens per type",4.42
Tagger,"Total Verbal Elements",698
Tagger,"Verbal Elements per Sentence",1.55
Tagger,"Total Noun Elements",1137
Tagger,"Noun Elements per Sentence",2.53
Tagger,"Token count ($)",39
Tagger,"Token count (,)",0
Tagger,"Token count (:)",0
Tagger,"Token count (???)",0
Tagger,"Token count (CD)",152
Tagger,"Token count (CO)",337
Tagger,"Token count (DAT)",974
Tagger,"Token count (DT)",185
Tagger,"Token count (DTW)",23
Tagger,"Token count (EX)",2
Tagger,"Token count (FW)",0
Tagger,"Token count (GE)",85
Tagger,"Token count (IN)",1101
Tagger,"Token count (JJ)",749
Tagger,"Token count (JJR)",81
Tagger,"Token count (JJS)",49
Tagger,"Token count (LS)",0
Tagger,"Token count (MD)",87
Tagger,"Token count (NN)",1588
Tagger,"Token count (NNS)",774
Tagger,"Token count (NP)",549
Tagger,"Token count (NPS)",43
Tagger,"Token count (PDT)",0
Tagger,"Token count (PN)",6
Tagger,"Token count (PP)",137
Tagger,"Token count (PP$)",84
Tagger,"Token count (PWH)",35
Tagger,"Token count (PWS)",49
Tagger,"Token count (QQ)",33
Tagger,"Token count (RB)",422
Tagger,"Token count (RBR)",35
Tagger,"Token count (RBS)",11
Tagger,"Token count (STOP)",0
Tagger,"Token count (SYM)",0
Tagger,"Token count (THAT)",34
Tagger,"Token count (TO)",185
Tagger,"Token count (UH)",0
Tagger,"Token count (VB)",17
Tagger,"Token count (VBD)",57
Tagger,"Token count (VBG)",0
Tagger,"Token count (VBN)",13
Tagger,"Token count (VBP)",33
Tagger,"Token count (VBZ)",125
Tagger,"Token count (VD)",0
Tagger,"Token count (VDD)",3
Tagger,"Token count (VDG)",0
Tagger,"Token count (VDN)",0
